Tempo,Fluxo,RPM,Corrente,Tensao
2024-12-06 21:15:32.209042,5.67,262,3.67,139.0
2024-12-06 21:15:35.215036,5.0,210,3.48,132.0
2024-12-06 21:15:38.221602,4.86,195,3.45,131.0
2024-12-06 21:15:41.226942,5.13,202,3.59,136.0
2024-12-06 21:15:44.258618,5.0,210,3.59,137.0
2024-12-06 21:15:47.267340,4.86,187,3.5,133.0
2024-12-06 21:15:50.416932,4.86,195,3.57,135.0
2024-12-06 21:15:53.417492,5.0,202,3.46,131.0
2024-12-06 21:15:59.406101,5.0,210,3.48,132.0
2024-12-06 21:16:08.413496,5.0,210,3.37,127.0
2024-12-06 21:16:14.493604,5.0,202,3.51,133.0
2024-12-06 21:16:20.516302,5.0,195,3.63,138.0
2024-12-06 21:16:23.523617,4.86,195,3.36,127.0
2024-12-06 21:16:26.543909,5.0,195,3.49,132.0
2024-12-06 21:16:44.668058,5.0,202,3.48,132.0
2024-12-06 21:16:56.757242,4.86,195,3.47,131.0
2024-12-06 21:16:59.771290,4.86,180,3.39,128.0
2024-12-06 21:17:02.868347,5.13,202,3.45,131.0
2024-12-06 21:17:05.876113,4.86,202,3.55,135.0
2024-12-06 21:17:08.882633,5.0,195,3.55,135.0
2024-12-06 21:17:11.889164,5.0,202,3.41,129.0
2024-12-06 21:17:14.893068,5.0,195,3.54,134.0
2024-12-06 21:17:17.898282,5.0,202,3.42,130.0
2024-12-06 21:17:20.993214,5.0,202,3.38,128.0
2024-12-06 21:17:24.000366,4.86,187,3.47,132.0
2024-12-06 21:17:27.009940,5.0,187,3.59,136.0
2024-12-06 21:17:30.016557,4.86,195,3.57,135.0
2024-12-06 21:17:33.021948,5.0,195,3.69,141.0
2024-12-06 21:17:36.027010,5.0,202,3.46,131.0
2024-12-06 21:17:39.233708,5.0,202,3.38,128.0
2024-12-06 21:17:42.240014,5.0,195,3.54,134.0
2024-12-06 21:17:45.248030,5.13,210,3.42,129.0
2024-12-06 21:17:48.254168,5.0,195,3.55,135.0
2024-12-06 21:17:51.257755,4.86,195,3.51,133.0
2024-12-06 21:17:54.262370,5.13,202,3.51,133.0
2024-12-06 21:17:57.269558,4.86,195,3.49,132.0
2024-12-06 21:18:00.274771,4.86,187,3.53,134.0
2024-12-06 21:18:03.281901,5.0,202,3.66,139.0
2024-12-06 21:18:06.289356,5.0,195,3.49,132.0
2024-12-06 21:18:09.295585,5.0,232,3.4,129.0
2024-12-06 21:18:12.301650,5.0,300,3.46,131.0
2024-12-06 21:18:15.308776,5.0,322,3.48,132.0
2024-12-06 21:18:21.434727,5.13,337,3.6,137.0
2024-12-06 21:18:24.422523,4.86,315,3.57,135.0
2024-12-06 21:18:27.421820,5.0,307,3.4,129.0
2024-12-06 21:18:30.425967,4.86,307,3.53,134.0
2024-12-06 21:18:36.451732,5.0,322,3.35,127.0
2024-12-06 21:18:39.477494,5.0,330,3.44,130.0
2024-12-06 21:18:45.514859,5.0,322,3.49,132.0
2024-12-06 21:18:48.536336,4.86,322,3.44,130.0
2024-12-06 21:18:51.557709,5.0,307,3.4,129.0
2024-12-06 21:19:00.630341,5.0,315,3.47,131.0
2024-12-06 21:19:09.683020,5.0,315,3.46,131.0
2024-12-06 21:19:12.709328,5.0,322,3.48,132.0
2024-12-06 21:19:15.733500,5.0,307,3.6,137.0
2024-12-06 21:19:18.746365,5.0,322,3.28,124.0
2024-12-06 21:19:24.797057,5.0,315,3.6,137.0
2024-12-06 21:19:27.808719,5.0,330,3.45,131.0
2024-12-06 21:19:30.829729,5.0,337,3.42,129.0
2024-12-06 21:19:49.006708,5.0,330,3.53,134.0
2024-12-06 21:19:55.016759,4.86,360,3.45,131.0
2024-12-06 21:20:02.051262,5.0,322,3.42,129.0
2024-12-06 21:20:04.061546,5.0,330,3.47,132.0
2024-12-06 21:20:07.124741,5.0,330,3.43,130.0
2024-12-06 21:20:10.134568,5.0,322,3.46,131.0
2024-12-06 21:20:13.140131,4.86,315,3.36,127.0
2024-12-06 21:20:16.147207,5.0,307,3.41,129.0
2024-12-06 21:20:19.418556,5.0,315,3.48,132.0
2024-12-06 21:20:25.441706,4.86,315,3.45,131.0
2024-12-06 21:20:28.431325,5.0,322,3.48,132.0
2024-12-06 21:20:31.440655,5.0,322,3.57,136.0
2024-12-06 21:20:34.426370,5.0,322,3.41,129.0
2024-12-06 21:20:37.421515,5.0,322,3.52,133.0
2024-12-06 21:20:40.429491,5.0,315,3.49,132.0
2024-12-06 21:20:43.420683,5.0,315,3.41,129.0
2024-12-06 21:20:46.428129,4.86,315,3.65,139.0
2024-12-06 21:20:49.419305,5.0,315,3.54,134.0
2024-12-06 21:20:55.430068,5.0,315,3.6,137.0
2024-12-06 21:20:58.439550,5.0,307,3.6,137.0
2024-12-06 21:21:16.663461,5.0,307,3.49,132.0
2024-12-06 21:21:19.669636,4.86,315,3.51,133.0
2024-12-06 21:21:22.674682,5.0,315,3.43,130.0
2024-12-06 21:21:25.680047,5.0,307,3.56,135.0
2024-12-06 21:21:28.688552,4.86,307,3.38,128.0
2024-12-06 21:21:34.701927,4.86,307,3.64,139.0
2024-12-06 21:22:56.268966,3.0,455,3.65,120.0
